county,state,population_est_2019
Barnstable County,Massachusetts,212990
Berkshire County,Massachusetts,124944
Bristol County,Massachusetts,565217
Dukes County,Massachusetts,17332
Essex County,Massachusetts,789034
Franklin County,Massachusetts,70180
Hampden County,Massachusetts,466372
Hampshire County,Massachusetts,160830
Middlesex County,Massachusetts,1611699
Nantucket County,Massachusetts,11399
Norfolk County,Massachusetts,706775
Plymouth County,Massachusetts,521202
Suffolk County,Massachusetts,803907
Worcester County,Massachusetts,830622
